Bitcoin,Ethereum,Litecoin,Yuan,Euro,Pound,Gold,Oil,SP
4625.68,390.640015,66.57,6.625,0.837,0.7744,1315.81,46.46,2449.189941
4626.52,389.640015,74.589996,6.5998,0.8418,0.7765,1308.3,45.96,2460.310059
4736.05,395.299988,92.769997,6.6025,0.8458,0.7781,1302.33,47.26,2475.01001
4892.01,392.040009,93.669998,6.5927,0.8439,0.7749,1316.86,47.32,2480.379883
4427.84,341.769989,82.169998,6.5579,0.8427,0.7747,1332.15,48.63,2471.969971
4617.25,338.920013,82.839996,6.5485,0.8403,0.7681,1336.58,49.13,2469.639893
4655.04,335.390015,82.199997,6.5321,0.8395,0.7674,1332.55,49.1,2468.620117
4661,309.070007,73.949997,6.4874,0.8323,0.7638,1348.9,47.44,2467.110107
4261.67,316.380005,71.970001,6.5303,0.8371,0.7599,1334.76,48.06,2488.949951
4344.65,294.390015,66.339996,6.5498,0.8385,0.7599,1323.46,48.21,2496.77002
4131.98,280.649994,62.66,6.5431,0.8423,0.7585,1328.68,49.3,2498.370117
3920.6,267.700012,55.650002,6.5601,0.8448,0.7598,1318.82,49.86,2498.429932
3733.45,272.429993,57.34,6.5552,0.8404,0.7473,1327.28,49.9,2500.22998
4079.23,299.910004,56.700001,6.5758,0.8394,0.7427,1314.27,49.88,2508.320068
4094.07,293.73999,54.369999,6.6006,0.8369,0.7426,1305.14,49.54,2507.840088
4031.39,287.130005,52.48,6.5849,0.8431,0.7434,1309.35,50.29,2508.850098
3916.42,270.73999,49.029999,6.6041,0.8428,0.7424,1295.55,50.58,2507.159912
3758.27,286.720001,50.009998,6.5996,0.8378,0.7435,1293.04,50.33,2503.469971
3950.25,295.890015,54.369999,6.6226,0.8452,0.7447,1289.88,51.85,2502.540039
3969.89,312.640015,57.389999,6.6418,0.8506,0.7459,1307.12,51.59,2503.51001
4210.05,310.23999,57.16,6.6447,0.8535,0.7484,1290.72,52.14,2511.75
4279.31,303.540009,54.93,6.678,0.8534,0.7495,1279.07,51.62,2510.810059
4214.63,305.910004,55.91,6.6821,0.8496,0.749,1283.33,51.67,2519.439941
4470.23,299.920013,53.540001,6.6534,0.8525,0.7544,1272.52,50.59,2529.22998
4432.47,295.570007,52.98,6.6534,0.855,0.7563,1267.45,50.44,2535.129883
