"Bitcoin","Ethereum","Litecoin","Gold","Oil","Chinese Yuan","Europe","Pound","SP","Dow Jones","EPU Index","NASDAQ","New York Stock Exchange","Volatil Index"
1788.44,90.550003,32.080002,1219.86,47.28,6.9094,0.9214,0.7736,2399.73999,20976.2793,67.32,6131.640137,11599.5,830
1873.93,90.57,30.780001,1217.56,47.81,6.9081,0.9225,0.7784,2395.719971,20933.35938,49.78,6120.200195,11574.4502,854
1856.15,88.589996,28.18,1223.85,47.83,6.907,0.9214,0.7785,2392.439941,20916.09961,129.4,6122.839844,11557.82031,834
1812.8,92.18,25.15,1227.74,48.86,6.9032,0.9156,0.7765,2404.050049,21000.83008,169.44,6153.040039,11628.24023,832
1785.94,89.400002,26,1230.81,48.64,6.8964,0.9113,0.7772,2405.77002,21033.5293,118,6170.160156,11642.84961,8
1864.05,96.099998,28.790001,1240.26,49.04,6.8963,0.9024,0.7749,2384.870117,20846.16992,62.79,6122.870117,11530.51953,268
1904.48,129.470001,28.200001,1256.78,49.36,6.8968,0.9031,0.7755,2375.73999,20759.19922,89.48,6073.450195,11479,184
2004.52,129.070007,28.17,1247.09,50.32,6.8974,0.9013,0.7736,2389.060059,20857.13086,87.23,6106.549805,11573.20996,69
2303.9,176.039993,31.719999,1251.76,50.81,6.896,0.896,0.7713,2395.459961,20914.25977,83.62,6135.919922,11592.51953,835
2320.82,201.149994,35.939999,1259.03,51.12,6.8941,0.8949,0.7722,2400.850098,20961.14063,64.98,6150.910156,11620.26953,833
2523.72,216.100006,35.759998,1248.81,50.99,6.8959,0.8954,0.7736,2405.580078,21022.82031,76.1,6166.089844,11626.13965,803
2763.71,197.669998,31.35,1255.2,48.57,6.8899,0.8934,0.7734,2418.709961,21112.32031,51.65,6217.339844,11666.90039,818
2573.79,169.619995,25.940001,1255.33,49.58,6.8703,0.8961,0.7828,2416.679932,21092.82031,62.91,6211.52002,11635.45996,813
2301.96,233.919998,25.99,1264.83,49.63,6.8556,0.9002,0.7817,2415.26001,21063.61914,45.36,6217.129883,11616.45996,826
2311.08,235.520004,29.610001,1258.73,48.29,6.8529,0.8959,0.7832,2415.98999,21051.69922,168.16,6221.990234,11613.11035,794
2448.39,227.710007,28.65,1265.53,48.32,6.812,0.8928,0.7794,2430.060059,21144.17969,100.04,6247.069824,11699.83008,812
2488.55,226.410004,28.559999,1259.31,47.68,6.8242,0.8927,0.7788,2440.22998,21225.03906,61.36,6308.759766,11728.79981,806
2686.81,268.119995,31.190001,1277.75,47.4,6.8059,0.8903,0.7784,2439.550049,21224.41016,274.58,6310.620117,11711.58008,804
2999.91,264.799988,30.57,1282.14,48.13,6.8037,0.8898,0.7771,2436.209961,21180.4707,85.3,6304.209961,11693.09961,843
2869.38,260.769989,30.389999,1289.85,45.8,6.7979,0.8927,0.776,2435.280029,21189.83984,46.07,6302.779785,11698.15039,831
2815.3,279.140015,30.629999,1283.33,45.68,6.8014,0.8933,0.7748,2439.27002,21265.68945,33.16,6324.060059,11702.63965,827
2901.71,351.820007,30.309999,1272.51,45.82,6.8041,0.8958,0.7918,2446.199951,21305.34961,65.8,6341.700195,11754.75,19
2997.26,399.5,30.610001,1265.18,46.1,6.7996,0.8937,0.7914,2430.379883,21277.08008,98.63,6183.810059,11774.17969,823
2789.04,393.619995,31.809999,1262.48,46.41,6.7995,0.8941,0.7911,2441.48999,21332.76953,144.57,6226.410156,11799.19043,808
2786.83,351.940002,29.790001,1265.56,44.79,6.8007,0.8934,0.786,2443.75,21391.9707,48.72,6237.529785,11811.5,810
2534.71,360.839996,34.18,1260.87,44.47,6.8079,0.8984,0.7881,2433.949951,21367.2793,67.05,6170.149902,11744.62012,843
2539.92,368.329987,47.700001,1250.99,44.73,6.8162,0.8978,0.7845,2433.149902,21384.41992,80.07,6161.560059,11772.03027,798
2662.85,365.220001,48.32,1249.77,44.24,6.8199,0.8974,0.7859,2453.820068,21528.99023,75.3,6243.310059,11836.95996,783
2763.45,352.829987,46.75,1242.7,43.34,6.836,0.8995,0.7936,2450.659912,21535.0293,93.24,6234.009766,11801.2002,822
2772.01,333.399994,47.91,1243.08,42.48,6.8363,0.8988,0.7944,2442.22998,21492.61914,90.96,6236.660156,11753.30957,35
2723.74,331.529999,46.98,1249.17,42.53,6.8365,0.8979,0.7903,2441.620117,21456.4707,93.79,6257.680176,11741.87988,816
2765.17,330.279999,46.09,1249.99,42.86,6.8454,0.8973,0.7891,2441.399902,21421.78906,135.04,6269.370117,11750.33008,847
2615.25,286.640015,40.240002,1249.47,43.24,6.8468,0.8953,0.7871,2450.419922,21506.21094,44.92,6303.450195,11793.54004,773
2552.45,323.869995,43.099998,1243.4,44.25,6.8466,0.8946,0.7865,2440.149902,21440.59961,93.1,6234.319824,11787.59961,859
2603.98,322.279999,41.939999,1248.45,44.74,6.8114,0.8858,0.7817,2442.969971,21478.75,95.31,6238.290039,11827.5,787
