Date,Open,High,Low,Close
11/12/17,6295.45,6625.05,5519.01,5950.07
11/13/17,5938.25,6811.19,5844.29,6559.49
11/14/17,6561.48,6764.98,6461.75,6635.75
11/15/17,6634.76,7342.25,6634.76,7315.54
11/16/17,7323.24,7967.38,7176.58,7871.69
11/17/17,7853.57,8004.59,7561.09,7708.99
11/18/17,7697.21,7884.99,7463.44,7790.15
11/19/17,7766.03,8101.91,7694.10,8036.49
11/20/17,8039.07,8336.86,7949.36,8200.64
11/21/17,8205.74,8348.66,7762.71,8071.26
11/22/17,8077.95,8302.26,8075.47,8253.55
11/23/17,8232.38,8267.40,8038.77,8038.77
11/24/17,8074.02,8374.16,7940.93,8253.69
11/25/17,8241.71,8790.92,8191.15,8790.92
11/26/17,8789.04,9522.93,8775.59,9330.55
11/27/17,9352.72,9818.35,9352.72,9818.35
11/28/17,9823.43,10125.70,9736.30,10058.80
11/29/17,10077.40,11517.40,9601.03,9888.61
11/30/17,9906.79,10801.00,9202.05,10233.60
12/01/17,10198.60,11046.70,9694.65,10975.60
12/02/17,10978.30,11320.20,10905.10,11074.60
12/03/17,11082.70,11858.70,10862.00,11323.20
12/04/17,11315.40,11657.20,11081.80,11657.20
12/05/17,11685.70,12032.00,11604.60,11916.70
12/06/17,11923.40,14369.10,11923.40,14291.50
12/07/17,14266.10,17899.70,14057.30,17899.70
12/08/17,17802.90,18353.40,14336.90,16569.40
12/09/17,16523.30,16783.00,13674.90,15178.20
12/10/17,15168.40,15850.60,13226.60,15455.40
12/11/17,15427.40,17513.90,15404.80,16936.80
12/12/17,16919.80,17781.80,16571.60,17415.40
12/13/17,17500.00,17653.10,16039.70,16408.20
12/14/17,16384.60,17085.80,16185.90,16564.00
12/15/17,16601.30,18154.10,16601.30,17706.90
12/16/17,17760.30,19716.70,17515.30,19497.40
12/17/17,19475.80,20089.00,18974.10,19140.80
12/18/17,19106.40,19371.00,18355.90,19114.20
12/19/17,19118.30,19177.80,17275.40,17776.70
12/20/17,17760.30,17934.70,16077.70,16624.60
12/21/17,16642.40,17567.70,15342.70,15802.90
12/22/17,15898.00,15943.40,11833.00,13831.80
12/23/17,13948.70,15603.20,13828.80,14699.20
12/24/17,14608.20,14626.00,12747.70,13925.80
12/25/17,13995.90,14593.00,13448.90,14026.60
12/26/17,14036.60,16461.20,14028.90,16099.80
12/27/17,16163.50,16930.90,15114.30,15838.50
12/28/17,15864.10,15888.40,13937.30,14606.50
12/29/17,14695.80,15279.00,14307.00,14656.20
12/30/17,14681.90,14681.90,12350.10,12952.20
12/31/17,12897.70,14377.40,12755.60,14156.40
01/01/18,14112.20,14112.20,13154.70,13657.20
01/02/18,13625.00,15444.60,13163.60,14982.10
01/03/18,14978.20,15572.80,14844.50,15201.00
01/04/18,15270.70,15739.70,14522.20,15599.20
01/05/18,15477.20,17705.20,15202.80,17429.50
01/06/18,17462.10,17712.40,16764.60,17527.00
01/07/18,17527.30,17579.60,16087.70,16477.60
01/08/18,16476.20,16537.90,14208.20,15170.10
01/09/18,15123.70,15497.50,14424.00,14595.40
01/10/18,14588.50,14973.30,13691.20,14973.30
01/11/18,14968.20,15018.80,13105.90,13405.80
01/12/18,13453.90,14229.90,13158.10,13980.60
01/13/18,13952.40,14659.50,13952.40,14360.20
01/14/18,14370.80,14511.80,13268.00,13772.00
01/15/18,13767.30,14445.50,13641.70,13819.80
01/16/18,13836.10,13843.10,10194.90,11490.50
01/17/18,11431.10,11678.00,9402.29,11188.60
01/18/18,11198.80,12107.30,10942.50,11474.90
01/19/18,11429.80,11992.80,11172.10,11607.40
01/20/18,11656.20,13103.00,11656.20,12899.20
01/21/18,12889.20,12895.90,11288.20,11600.10
01/22/18,11633.10,11966.40,10240.20,10931.40
01/23/18,10944.50,11377.60,10129.70,10868.40
01/24/18,10903.40,11501.40,10639.80,11359.40
01/25/18,11421.70,11785.70,11057.40,11259.40
01/26/18,11256.00,11656.70,10470.30,11171.40
01/27/18,11174.90,11614.90,10989.20,11440.70
01/28/18,11475.30,12040.30,11475.30,11786.30
01/29/18,11755.50,11875.60,11179.20,11296.40
01/30/18,11306.80,11307.20,10036.20,10106.30
01/31/18,10108.20,10381.60,9777.42,10221.10
02/01/18,10237.30,10288.80,8812.28,9170.54
02/02/18,9142.28,9142.28,7796.49,8830.75
02/03/18,8852.12,9430.75,8251.63,9174.91
02/04/18,9175.70,9334.87,8031.22,8277.01
02/05/18,8270.54,8364.84,6756.68,6955.27
02/06/18,7051.75,7850.70,6048.26,7754.00
02/07/18,7755.49,8509.11,7236.79,7621.30
02/08/18,7637.86,8558.77,7637.86,8265.59
02/09/18,8271.84,8736.98,7884.71,8736.98
02/10/18,8720.08,9122.55,8295.47,8621.90
02/11/18,8616.13,8616.13,7931.10,8129.97
02/12/18,8141.43,8985.92,8141.43,8926.57
02/13/18,8926.72,8958.47,8455.41,8598.31
02/14/18,8599.92,9518.54,8599.92,9494.63
02/15/18,9488.32,10234.80,9395.58,10166.40
02/16/18,10135.70,10324.10,9824.82,10233.90
02/17/18,10207.50,11139.50,10149.40,11112.70
02/18/18,11123.40,11349.80,10326.00,10551.80
02/19/18,10552.60,11273.80,10513.20,11225.30
02/20/18,11231.80,11958.50,11231.80,11403.70
02/21/18,11372.20,11418.50,10479.10,10690.40
02/22/18,10660.40,11039.10,9939.09,10005.00
02/23/18,9937.07,10487.30,9734.56,10301.10
02/24/18,10287.70,10597.20,9546.97,9813.07
02/25/18,9796.42,9923.22,9407.06,9664.73
02/26/18,9669.43,10475.00,9501.73,10366.70
02/27/18,10393.90,10878.50,10246.10,10725.60
02/28/18,10687.20,11089.80,10393.10,10397.90
03/01/18,10385.00,11052.30,10352.70,10951.00
03/02/18,10977.40,11189.00,10850.10,11086.40
03/03/18,11101.90,11528.20,11002.40,11489.70
03/04/18,11497.40,11512.60,11136.10,11512.60
03/05/18,11532.40,11704.10,11443.90,11573.30
03/06/18,11500.10,11500.10,10694.30,10779.90
03/07/18,10803.90,10929.50,9692.12,9965.57
