Date,Price,Open,High,Low,Change %
07/31/15,0.9101,0.9145,0.9157,0.8997,-0.49%
07/30/15,0.9146,0.9101,0.918,0.9097,0.47%
07/29/15,0.9103,0.9042,0.9118,0.902,0.67%
07/28/15,0.9042,0.9012,0.9073,0.9007,0.31%
07/27/15,0.9014,0.9111,0.9118,0.8984,-0.99%
07/24/15,0.9104,0.9104,0.9154,0.9093,-0.01%
07/23/15,0.9105,0.9148,0.9157,0.9074,-0.45%
07/22/15,0.9146,0.9142,0.92,0.9117,0.03%
07/21/15,0.9143,0.9237,0.9249,0.9115,-1.01%
07/20/15,0.9236,0.9229,0.9253,0.9198,0.02%
07/17/15,0.9234,0.9194,0.9234,0.9167,0.42%
07/16/15,0.9195,0.9132,0.9212,0.912,0.68%
07/15/15,0.9133,0.9081,0.9151,0.906,0.57%
07/14/15,0.9081,0.9087,0.912,0.9024,-0.08%
07/13/15,0.9088,0.9005,0.9094,0.8929,1.46%
07/10/15,0.8957,0.9058,0.9067,0.8914,-1.13%
07/09/15,0.9059,0.9027,0.91,0.8987,0.37%
07/08/15,0.9026,0.9079,0.9113,0.9014,-0.61%
07/07/15,0.9081,0.9042,0.9162,0.9039,0.41%
07/06/15,0.9044,0.9088,0.9118,0.9011,0.51%
07/03/15,0.8998,0.9021,0.9037,0.8993,-0.27%
07/02/15,0.9022,0.9046,0.9066,0.8989,-0.28%
07/01/15,0.9047,0.8974,0.9057,0.895,0.76%
06/30/15,0.8979,0.8898,0.9,0.8892,0.89%
06/29/15,0.89,0.9058,0.9128,0.8865,-0.63%
06/26/15,0.8956,0.8924,0.8984,0.8911,0.35%
06/25/15,0.8925,0.8922,0.8965,0.8905,0.01%
06/24/15,0.8924,0.8952,0.8964,0.8899,-0.31%
06/23/15,0.8952,0.8816,0.8982,0.8811,1.52%
06/22/15,0.8818,0.8799,0.884,0.8763,0.11%
06/19/15,0.8808,0.8803,0.8855,0.8777,0.07%
06/18/15,0.8802,0.8821,0.8828,0.8743,-0.22%
06/17/15,0.8821,0.8889,0.8918,0.8802,-0.79%
06/16/15,0.8891,0.8858,0.8925,0.8825,0.33%
06/15/15,0.8862,0.8907,0.8938,0.8852,-0.12%
06/12/15,0.8873,0.8881,0.897,0.8851,-0.10%
06/11/15,0.8882,0.883,0.8942,0.8821,0.60%
06/10/15,0.8829,0.8862,0.8882,0.8782,-0.37%
06/09/15,0.8862,0.8856,0.8918,0.8813,0.06%
06/08/15,0.8857,0.8997,0.9024,0.8841,-1.58%
06/05/15,0.8999,0.8898,0.9052,0.8864,1.14%
06/04/15,0.8898,0.8869,0.8909,0.8787,0.30%
06/03/15,0.8871,0.8963,0.9027,0.886,-1.05%
06/02/15,0.8965,0.9149,0.9163,0.8935,-2.03%
06/01/15,0.9151,0.9102,0.9187,0.9098,0.55%
05/29/15,0.9101,0.9132,0.9153,0.9084,-0.35%
05/28/15,0.9133,0.9169,0.9201,0.9123,-0.40%
05/27/15,0.917,0.9196,0.9244,0.9148,-0.28%
05/26/15,0.9196,0.9109,0.9206,0.91,0.96%
05/25/15,0.9109,0.9085,0.9126,0.9081,0.35%
05/22/15,0.9077,0.8998,0.9091,0.8921,0.87%
05/21/15,0.8999,0.9013,0.9024,0.8941,-0.17%
05/20/15,0.9014,0.8968,0.9041,0.8963,0.50%
05/19/15,0.8969,0.8836,0.8995,0.8826,1.48%
05/18/15,0.8838,0.8729,0.8851,0.8729,1.21%
05/15/15,0.8732,0.8763,0.8831,0.8718,-0.37%
05/14/15,0.8764,0.8804,0.882,0.8737,-0.47%
05/13/15,0.8805,0.8917,0.8927,0.8783,-1.26%
05/12/15,0.8917,0.8965,0.8983,0.8864,-0.52%
05/11/15,0.8964,0.893,0.8984,0.8921,0.44%
05/08/15,0.8925,0.8874,0.8945,0.8858,0.55%
05/07/15,0.8876,0.8811,0.8899,0.8777,0.77%
05/06/15,0.8808,0.8938,0.895,0.8793,-1.48%
05/05/15,0.894,0.8971,0.9037,0.891,-0.36%
05/04/15,0.8972,0.8925,0.8992,0.8908,0.50%
05/01/15,0.8927,0.8908,0.895,0.8857,0.20%
04/30/15,0.8909,0.8985,0.9034,0.8875,-0.82%
04/29/15,0.8983,0.9105,0.9126,0.8937,-1.35%
04/28/15,0.9106,0.9179,0.9208,0.9097,-0.85%
04/27/15,0.9184,0.9196,0.9244,0.9151,-0.13%
